# visible | band                    | dataset                 | pol   | sampleModel | scalingOffset | scalingFactor | typicaMin | typicalMax | cyclic | fillValue | validExpr | unit      | decription                                                                                             | flagCoding    | flags                                       | ancilliaryBandName
# Diff_TBs_Type                                                                                                                                            *
  *       | Param5_prior_R4         | Param5_prior_R4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_prior_R4                                                                                        | *             | *                                           | Param5_sigma_prior_R4
  *       | Param5_sigma_prior_R4   | Param5_sigma_prior_R4   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_sigma_prior_R4                                                                                  | *             | *                                           | *
  *       | Param6_prior_R4         | Param6_prior_R4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_prior_R4                                                                                        | *             | *                                           | *
  *       | Dg_LSC_R4               | Dg_LSC_R4               | *     | *           | *             | *             | *         | *          | *      | *         | *         | *         | Dwell-line mean of absolute value of land-sea correction for 4th mapped retrieval                      | *             | *                                           | *
  *       | Science_Flags_R4        | Science_Flags_R4        | *     | *           | *             | *             | *         | *          | *      | *         | *         | *         | Science flags for 4th mapped retrieval configuration                                                   | TODO          | TODO                                        | *
  *       | Control_Flags_R4        | Control_Flags_R4        | *     | *           | *             | *             | *         | *          | *      | *         | *         | *         | Control flags for 4th mapped retrieval configuration                                                   | TODO          | TODO                                        | *
# Grid_Point_Descriptors_Type
  *       | Out_of_LUT_flags_R1     | Out_of_LUT_flags_R1     | *     | *           | *             | *             | *         | *          | *      | *         | *         | *         | Flags for for 1st mapped retrieval                                                                     | TODO Out_Of_Lut_Flags | TODO DBL_SM_XXXX_MIR_OSDAP2_0200_out_of_lut | *
  *       | Out_of_LUT_flags_R2     | Out_of_LUT_flags_R2     | *     | *           | *             | *             | *         | *          | *      | *         | *         | *         | Flags for for 2nd mapped retrieval                                                                     | TODO Out_Of_Lut_Flags | TODO DBL_SM_XXXX_MIR_OSDAP2_0200_out_of_lut | *
  *       | Out_of_LUT_flags_R3     | Out_of_LUT_flags_R3     | *     | *           | *             | *             | *         | *          | *      | *         | *         | *         | Flags for for 3rd mapped retrieval                                                                     | TODO Out_Of_Lut_Flags | TODO DBL_SM_XXXX_MIR_OSDAP2_0200_out_of_lut | *
  *       | Out_of_LUT_flags_R4     | Out_of_LUT_flags_R4     | *     | *           | *             | *             | *         | *          | *      | *         | *         | *         | Flags for for 4th mapped retrieval                                                                     | TODO Out_Of_Lut_Flags | TODO DBL_SM_XXXX_MIR_OSDAP2_0200_out_of_lut | *
  *       | X_swath                 | X_swath                 | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | km        | Grid point distance from the satellite track                                                           | *             | *                                           | *
